user,rating,comment,ID,Sentiment,compound,sentiment,Neutral,Positive,Negative
Torsten,10,nan,30549,,0,neutral,46,46,3
mitnachtKAUBO-I,10,"Hands down my favorite new game of BGG CON 2007.  We played it 5 times in a row -- it's just that good.  Too bad Pandemic won't be in stores until January of 2008.  If you like pure co̦p games (Lord of the Rings, Feurio, etc.), this should be right up your alley.  Having 5 roles to choose from gives the game some extra variability.  Also, once you get good you can ramp up the difficulty by adding more Epidemic cards.  9 -> 10",30549,,0.7783,positive,46,46,3
avlawn,10,"I tend to either love or easily tire of co-op games.  Pandemic joins Knizia's LoTR as my favorite true co-op.  It edges LoTR out merely in time to set-up and play.  LoTR can be an undertaking to explain enough details so that players enjoy their first time through the game, while Pandemic is fast enough that even if the players don't quite get everything that is going on, they can try again immediately.",30549,,0.9536,positive,46,46,3
Mike Mayer,10,nan,30549,,0,neutral,46,46,3
Mease19,10,"This is an amazing co-op game.  I play mostly with my wife and this is a game that I can't really imagine getting tired of.  Win or lose, I usually want to play again immediately.  On the Brink and the fan-made expansion from on ArtsCow add much more variety and good game play, only enhancing an already great game.",30549,,0.9477,positive,46,46,3
cfarrell,10,"Hey! I can finally rate this game I've been playtesting on and off for a couple years. I really like Pandemic, it's the best cooperative game I've played since Lord of the Rings. The key is in the pacing; the game successfully ratchets up the tension as infections spread and outbreaks pop up all over the place, and the players fight a race against time to conquer the various diseases. The game is just a perfect length, about 45 minutes, and the endgame tension is just right - the game doesn't end before it's over. The different roles give the players significantly different prisms through which to look at the game, which is helpful in cleanly driving table-talk and discussion without phony artificial restrictions like Shadows over Camelot had. All in all, this is finally another good cooperative game that gamers can enjoy. It's not as deep as Lord of the Rings, but it's also simpler and shorter and should be accessible to a wide variety of players.  Gamers should probably bypass the ""easy"" game and go straight to the standard game.  If you'd like to tweak the difficulty a little bit without going straight to Heroic level (which can be pretty tough) try starting the infection rate marker on the second or third space.",30549,,0.978,positive,46,46,3
katrinacarenne,10,nan,30549,,0,neutral,46,46,3
DSpangler,10,nan,30549,,0,neutral,46,46,3
gregd,10,Love it- great fun with my son. 2 plays so far and looking forward to more!,30549,,0.9312,positive,46,46,3
calbearfan,10,"Fun, fun game. Strategy is required, but definitely accessible to non-gamers. Have played it 2 player with my 5 1/2 year old son (using 4 roles and open hands), and he thinks it is his favorite game now. Played it 3 player with my son and my 8 year old daughter, and it was great too. Also very much enjoyed a solitaire game playing 3 roles. This will definitely be one of the most played games for the next few months. I originally rated this a 9.5, but I can't figure out why I took off half a point.",30549,,0.9894,positive,46,46,3
odustin,10,nan,30549,,0,neutral,46,46,3
treece keenes,10,I don't know how they balanced this thing.  Absolutely amazing.  We have a ball finding new ways to look at this cooperative game that stands high above the rest.,30549,,0.624,positive,46,46,3
davecort,10,Best collaborative multi-player game out there. period.,30549,,0.6369,positive,46,46,3
PopeBrain,10,"(25+ plays)    Who can play?  Family game for 2-5 players.  Finally a cooperative game that I can play with anyone.  Work together to stem the tide global pandemic.  Played again and again with family and friends from age 25-65, and there's only a few other games I do that with.",30549,,0.8519,positive,46,46,3
darrensacre,10,nan,30549,,0,neutral,46,46,3
shigeking,10,nan,30549,,0,neutral,46,46,3
ZeeGarcia,10,"A thematic, brisk game that is well balanced and creates palpable tension. Currently, (and for the foreseeable future to be honest) my favorite board game. A wonderful addition to my collection, and possibly most collections.",30549,,0.8481,positive,46,46,3
Noogs,10,"When this game first came out I followed it closely.  I even listened to a Google Talk that the designer of the game gave.  Honestly, I didn't get it.  I couldn't tell if it was just another one of these co-ops that ends up being *essentially* ""Go Fish"" (e.g., Lord of the Rings, Shadows over Camelot).  Also, there were reviewers who were writing that every play was obvious and mechanical.  Well, I played this for the first time at GenCon '09.  Z-Man had sold out by the end of Saturday, so I bought a copy as soon as I got home.  It's that kind of game.  In ease of rules to interesting outcomes, I'd rate it similarly to Ticket to Ride.  The rules are incredibly simple, and very, very tight.  What the rules don't capture, though is that ambiguous dimension of tension.  Some games are able to produce it, some aren't.  Pandemic's the latter.  This was true of a bunch of adults (at GenCon), and has been true with my two daughters (11 and 14).  It's a similar feeling to Twilight Struggle: you never have control over the board, and things can deteriorate very, very quickly.  Me, I like that kind of game, and I'd rank this as the best pure co-op that I've played so far.  Finally, it is simple enough that my daughters have pulled it out on their own when their friends have come over.  I think Z-Man has got a ""classic"" on its hands here. ",30549,,0.98,positive,46,46,3
tcamprubi,10,nan,30549,,0,neutral,46,46,3
xandryyte,10,Thank you BGG SS 2011  Tried this game at PrezCon 08 on Saturday.  It's a co-op game which appealed to me because it's nice to play different types of games.  I enjoyed it very much and I hope I get another chance to play it again soon!,30549,,0.9506,positive,46,46,3
michael.perkins,10,nan,30549,,0,neutral,46,46,3
Reashi,10,nan,30549,,0,neutral,46,46,3
Gnipp,10,nan,30549,,0,neutral,46,46,3
Anaconda,10,Took us 7 years to beat the game. (Original version).  Probably the best team based board game I've ever played. And it's evil!,30549,,0.3595,positive,46,46,3
langmann,10,nan,30549,,0,neutral,46,46,3
Csigs,10,"Right now it's a nine, but I'm close to moving it up to 10.  My experience with cooperative games is that they lose their excitement after a time and the ratings dip ... but this one is starting at a very high point.  Tense, short and fraught with peril ... Pandemic is one of the best theme-to-game marriages that I've come across.",30549,,0.1292,positive,46,46,3
billandmonica,10,Highly addictive game.   Have won even the heroic game more than once.  All the roles have value but my wife sure loves the medic!  Very good gaming investment.,30549,,0.958,positive,46,46,3
brerfrog,10,nan,30549,,0,neutral,46,46,3
kq76,10,"best with 4 players; recommended 1-4 players  I love this game. I just wish there was a version where you played with random cities each game, maybe even a sci-fi version. Still, when asked what my favourite board game is, Pandemic is the first game that comes to mind.",30549,,0.936,positive,46,46,3
macls29,10,"Pre-order: Boards & Bits  I actually have the urge to do something I've never done before on BGG - rate a game before I've played it.  That's how pumped up I am for this one!  Got it today (2/20/08).  I opened it up and the components look fantastic.  I'm going to count the cards as suggested by another BGG user.  Then... time to save the world!  UPDATE:  I had a similar problem with the cards - 2 player cards for St. Petersburg, none for San Franscisco.  I will email Zev to rectify.  I played my first game, and it was amazing!  Tense, fun - I won on my last turn.  I played solo with the Ops Expert and Scientist, at the Intro level.  Very fun!  I'd say it was as tense as LotR, with a more satisfying theme (but then again I am a physician).  I will introduce my wife to it tomorrow - she saw it laid out an was interested, which is a rarity.  I will update how the couples play goes.",30549,,0.9837,positive,46,46,3
skeletodoc,10,A doctor's  kind of game. Par excellent!,30549,,0.6114,positive,46,46,3
kmobb74,10,nan,30549,,0,neutral,46,46,3
F_Rabbit,10,nan,30549,,0,neutral,46,46,3
mrraow,10,"Very tense, very tough, and good cooperation mechanics.  100 games in, we're still finding new and interesting ways to lose.",30549,,-0.1496,negative,46,46,3
jody,10,"The best co-op game in our collection, hands down!  Placing the shuffled Infection Discard pile on top of the remaining Infection Draw pile adds quite a bit of angst to this game by giving the appearance of a relentless repeat epidemic in previously infected cities.  I like the option of determining game level during set-up with the player Draw pile too.  At the moment we're having quite a bit of fun with this, both as 2 & 3-player games.     Expansion owned: Pandemic: On the Brink",30549,,0.8675,positive,46,46,3
Menoetius,10,"I think this is one of the best-designed cooperative games I've come across (aside from the design of the board itself, which gets far too cluttered with pawns, research stations and plague cubes).",30549,,0,neutral,46,46,3
AgentQ,10,nan,30549,,0,neutral,46,46,3
borchardbianca,10,nan,30549,,0,neutral,46,46,3
Tirerndil,10,nan,30549,,0,neutral,46,46,3
turtleback,10,"What cooperative games should strive to be.  A great theme that anyone can approach.  Easy to learn rules.  Fine components.  Scalable difficulty.  Great fun.  We have named our virus' Blue is H1N1, Black is Ebola, Yellow is Anthrax, Red is SARS, and Purple is West Nile.",30549,,0.93,positive,46,46,3
Conphas,10,nan,30549,,0,neutral,46,46,3
PowLdr,10,Excellent cooperative game.,30549,,0.5719,positive,46,46,3
ShaoHong,10,nan,30549,,0,neutral,46,46,3
XiBi,10,"Maybe the best coop game, yet.",30549,,0.6369,positive,46,46,3
Aldie,10,The shuffling mechanic in this game is a work of genius.  One of the greatest co-op games ever made.,30549,,0.6369,positive,46,46,3
lhfreak,10,Fantastic cooperation game.  ,30549,,0.5574,positive,46,46,3
Aetheros,10,nan,30549,,0,neutral,46,46,3
prems,10,nan,30549,,0,neutral,46,46,3
chaosbreaker,10,An exciting game.,30549,,0.4939,positive,46,46,3
DarkCelt,10,"Challenging, addictive, and my girlfriend will even play it.",30549,,0.4588,positive,46,46,3
bendan29,10,nan,30549,,0,neutral,46,46,3
Papachango,10,One of the best cooperative games out there!,30549,,0.6696,positive,46,46,3
snoweel,10,Great game.  It just speeds along.  There are just enough different things you can do to make interesting choices without bogging the game down.  It's a fun cooperative puzzle to solve and there are different approaches to victory.,30549,,0.8979,positive,46,46,3
Davestar2,10,"fun, quick, difficult and friendly.  ",30549,,0.6124,positive,46,46,3
msaya,10,"Really fun game, atmospheric, dreadful. It's one of my favorites among the eight or so cooperative games I own. The [i]On the Brink[/I] and [i]In the Lab[/i] expansions greatly enrich an already fine game and [i]Legacy: Seasons 1 & 2[/i] added exciting new dimensions.  [base game: 15 plays; w/In the Lab: 8 plays (all solos); Legacy Season 1: 13 plays (12-1, 2 players/1 character ea., finished); Legacy Season 2: 21 plays (11-10, 2 players/2 characters ea., finished); grand total: 57 plays]",30549,,0.9476,positive,46,46,3
rvinyard,10,nan,30549,,0,neutral,46,46,3
Osidarta,10,Simple cooperative that mix what I like in the genre...,30549,,0.3612,positive,46,46,3
MartyJackson,10,Have played this a lot in the past. Sold it.  Bought the new Edition and then wasn't sure I would keep it.  But my wife and I have played it and she loves it and I can see why this is a game that will be in my top 10.  Great co-op. Still loving it!,30549,,0.9746,positive,46,46,3
livejapan,10,nan,30549,,0,neutral,46,46,3
buzzard8701,10,nan,30549,,0,neutral,46,46,3
